user_id,n_samples,n_correct,user_accuracy
s036,100,99,0.99
s022,100,95,0.95
s052,100,94,0.94
s028,100,93,0.93
s043,100,91,0.91
s049,100,88,0.88
s053,100,88,0.88
s025,100,86,0.86
s017,100,85,0.85
s042,100,83,0.83
s033,100,82,0.82
s019,100,82,0.82
s012,100,81,0.81
s039,100,79,0.79
s041,100,79,0.79
s024,100,78,0.78
s040,100,75,0.75
s005,100,75,0.75
s026,100,75,0.75
s010,100,73,0.73
s027,100,72,0.72
s016,100,71,0.71
s038,100,69,0.69
s044,100,65,0.65
s003,100,63,0.63
s030,100,58,0.58
s055,100,57,0.57
s013,100,57,0.57
s011,100,52,0.52
s048,100,49,0.49
s021,100,49,0.49
s015,100,47,0.47
s004,100,45,0.45
s034,100,44,0.44
s047,100,42,0.42
s002,100,42,0.42
s035,100,41,0.41
s008,100,41,0.41
s029,100,39,0.39
s050,100,38,0.38
s031,100,38,0.38
s057,100,35,0.35
s018,100,33,0.33
s007,100,32,0.32
s054,100,29,0.29
s020,100,27,0.27
s037,100,25,0.25
s056,100,24,0.24
s032,100,23,0.23
s051,100,19,0.19
s046,100,14,0.14
